"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","EcoNews Management","0","Create News","3","0","Content field validation","1"
"0","EcoNews Management","0","Create News","3","0","Image upload validation for oversized files","0"
"0","EcoNews Management","0","Create News","1","0","Title field validation","0"
"0","EcoNews Management","0","Edit existing news","2","0","Verify that only the author can see the 'Edit news' button","0"
"0","EcoNews Management","0","Create News","1","0","Cancel button behavior","0"
"0","","1","","5","0","","0"
"0","EcoNews Management","0","Create News","2","0","Source field validation","0"
"0","EcoNews Management","0","Edit existing news","1","0","Verify author can edit their own news and changes are saved","0"
"0","EcoNews Management","0","Edit news page","1","0","Cancel editing behavior","0"
"0","EcoNews Management","0","Edit news page","1","0","Empty title field validation","0"
"0","EcoNews Management","1","Create News Preview","0","0","Verify preview page displays correct title, content, author and date","0"
